COUNTRY,SOVEREIGN,GID,CONTINENT,SRI,SRI_category,coastflood,rivflood,watersc,heatwvs,pm25,cyclns
Malta,Malta,MLT,Europe,"3.238963112388035",Low-Medium,"0.0","0.0","8.512922028115923","2.009524670657987","3.774437839531149","0.0"
Mauritania,Mauritania,MRT,Africa,"5.652413353483539",High,"0.0","8.26288703402083","7.583136499391182","3.311387367746613","8.376846857171579","0.0"
Mauritius,Mauritius,MUS,Africa,"5.029687784287286",Medium-High,"0.0","0.0",,"7.964783320298608","2.842715450569385","8.521193311972747"
Moldova,Moldova,MDA,Europe,"5.012251687811496",Medium-High,"0.0","7.866204417583866","2.740076308195174","8.885233273011801","4.216749296074006","0.0"
Mongolia,Mongolia,MNG,Asia,"5.512826002096372",High,"0.0","6.460639954060936","6.863576194151246","8.700303416856354","5.874882352475571","0.0"
Montenegro,Montenegro,MNE,Europe,"4.042319982672833",Medium-High,"0.0","6.039368470938139","0.912146828224916","8.440863305924964","3.794818468143558","0.0"
Morocco,Morocco,MAR,Africa,"6.087043208749845",High,"2.7481343598448","5.719524238108471","8.712129770378791","9.075092414628642","4.539234761414647","0.0"
Mozambique,Mozambique,MOZ,Africa,"5.012539249483559",Medium-High,"3.068749429961566","8.046422265634616","5.997645567179857","4.977267611731829","3.402846990418279","2.477464393230329"
Myanmar,Myanmar,MMR,Asia,"6.984869440243477",High,"6.335217419987591","8.773423431643888","2.121397447012264","9.235928317035514","7.92244692684605","2.887007504190939"
México,México,MEX,North America,"7.307275803668822",Extremely High,"3.612432919126269","6.49156568994566","8.661845039088746","9.78210304755185","5.740317169409453","6.109105196128803"
Namibia,Namibia,NAM,Africa,"5.212877241397171",Medium-High,"0.0","4.012184100779061","8.080243414871859","8.859878814943906","4.070068855559389","0.0"
Nepal,Nepal,NPL,Asia,"7.410887356466628",Extremely High,"0.0","9.770321605328323","8.448355870538391","7.810501476588964","9.346833483400555","0.0"
Netherlands,Netherlands,NLD,Europe,"2.384028945555763",Low-Medium,"2.414653438695242","2.134010790791206","2.201406611335171","2.792061670769068","4.239771291883185","0.0"
New Zealand,New Zealand,NZL,Oceania,"3.786840155927067",Medium-High,"0.0","6.368958363122569","0.545628961590527","8.599850957312801","1.172747835064198","0.0"
Nicaragua,Nicaragua,NIC,North America,"5.638736901092501",High,"0.0","7.992884059036281","5.949337596588365","8.823750462523623","4.143846641045442","1.688015165023657"
Niger,Niger,NER,Africa,"5.486013535942666",High,"0.0","5.696946852676548","6.382821238808199","6.204734023206667","9.068108432808131","0.0"
Nigeria,Nigeria,NGA,Africa,"6.246688730675444",High,"3.593351959076093","5.243820427384896","5.406469163351446","9.077982558003376","8.780279318467036","0.0"
North Korea,North Korea,PRK,Asia,"3.407632975364528",Low-Medium,"3.250027047018275","6.620895991750029","2.938904376626807","1.177087380356752","4.015168575641405","0.833388084327659"
North Macedonia,North Macedonia,MKD,Europe,"3.35837909414408",Low-Medium,"0.0","2.149145206831699","0.0","8.633036768607463","3.983589486428373","0.0"
Norway,Norway,NOR,Europe,"3.79281576488313",Medium-High,"3.582831432237952","6.978116429704988","0.0","7.511740788071832","0.0","0.0"
Oman,Oman,OMN,Asia,"6.803587840333803",High,"1.313311721946329","6.160044638712823","8.75385966072759","8.618529364011662","8.56300394194875","2.315510878092629"
Pakistan,Pakistan,PAK,Asia,"5.891340118470612",High,"2.638364482254572","6.714131311849711","7.602656762901204","5.855447054784156","8.284297912416463","0.69538694230098"
